Name,Id,Language
Moves in squared strings (III),56dbeec613c2f63be4000be6,Go
Sum of Digits / Digital Root,541c8630095125aba6000c00,Go
Bit Counting,526571aae218b8ee490006f4,Go
Steps in Primes,5613d06cee1e7da6d5000055,Python
Convert string to camel case,517abf86da9663f1d2000003,Go
String repeat,57a0e5c372292dd76d000d7e,Go
Playing with digits,5552101f47fc5178b1000050,Go
Sum of positive,5715eaedb436cf5606000381,Go
Beginner - Lost Without a Map,57f781872e3d8ca2a000007e,Go
Last digit of a large number,5511b2f550906349a70004e1,Python
Array.diff,523f5d21c841566fde000009,Python
extract file name,597770e98b4b340e5b000071,Python
Scramblies,55c04b4cc56a697bb0000048,Python
Not very secure,526dbd6c8c0eb53254000110,Python
Count characters in your string,52efefcbcdf57161d4000091,Python
